pathway	pval	padj	ES	NES	nMoreExtreme	size
GO:0003999	0.135747241725176	0.512253742359153	0.624311652035116	1.36289347170931	6766	9
GO:0001530	0.135667133426685	0.512253742359153	-0.547476009561644	-1.33606660574093	6781	13
GO:0004065	0.135417291654167	0.512253742359153	0.865721667481321	1.29079519642589	6770	2
GO:0034597	0.135517289654207	0.512253742359153	-0.864384969126258	-1.28523376471658	6775	2
GO:0004488	0.136343594676928	0.513623130632263	0.76088162699511	1.34198780594585	6802	4
GO:0001540	0.136604721646196	0.513727158327573	-0.60723688380184	-1.34599080589381	6850	9
GO:0000179	0.137388954031441	0.515794707967866	-0.714750848181935	-1.34384363254759	6912	5
GO:0016018	0.139135844588493	0.519088515554016	-0.928587103982124	-1.24155371686867	6932	1
GO:0004771	0.138877222455551	0.519088515554016	-0.862519576645685	-1.28246015632898	6943	2
GO:0003868	0.139256659754347	0.519088515554016	-0.605473347644755	-1.34208178205712	6983	9
GO:0016213	0.139872187831801	0.519088515554016	0.805368792769786	1.31788900588023	6981	3
GO:0046570	0.140055408287326	0.519088515554016	0.928826510254569	1.24019951272772	7026	1
GO:0004165	0.139577063360772	0.519088515554016	0.929065916527013	1.24051917580705	7002	1
GO:0004397	0.13864030454627	0.519088515554016	0.929604580640013	1.24123841773554	6955	1
GO:0034012	0.140772925677157	0.519088515554016	0.928437475061847	1.23968006022381	7062	1
GO:0004371	0.140772925677157	0.519088515554016	0.928437475061847	1.23968006022381	7062	1
GO:0050354	0.140772925677157	0.519088515554016	0.928437475061847	1.23968006022381	7062	1
GO:0004835	0.14086174717534	0.519088515554016	-0.927689330460458	-1.2403533619984	7018	1
GO:0070006	0.14124853795373	0.519643450665896	0.4856250267491	1.32232604424387	7124	23
GO:0000250	0.141817163656727	0.520002662141027	0.861811326024719	1.28496485838751	7090	2
GO:0008574	0.141818907856644	0.520002662141027	-0.801405589130409	-1.31021181608437	7102	3
GO:0032051	0.1421189657571	0.520235814751448	-0.711578597178085	-1.33787930340659	7150	5
GO:0050816	0.143276430068883	0.523601571680303	-0.800371087125671	-1.30852051673638	7175	3
GO:0030274	0.145314955148477	0.526676937935174	-0.623386184852135	-1.33766918324339	7305	8
GO:0001156	0.145252403846154	0.526676937935174	-0.518209217676014	-1.31189557795703	7250	15
GO:0004579	0.145116057043976	0.526676937935174	-0.623494722038617	-1.33790208357567	7295	8
GO:0005315	0.144937419768935	0.526676937935174	0.571613880480029	1.33933073709197	7225	12
GO:0004886	0.144692591175464	0.526676937935174	0.685330632649563	1.34808169086538	7184	6
GO:0016830	0.146182663220947	0.528950426128426	0.801428485924626	1.31144116842036	7296	3
GO:0017154	0.146866156068792	0.529681218608759	0.476320730301374	1.3092624738305	7420	24
GO:0030160	0.146712375181871	0.529681218608759	0.925424946133589	1.23565763314227	7360	1
GO:0016787	0.148298836279648	0.52979592648698	0.30424151071479	1.17930084311347	8346	179
GO:0033878	0.148726886631809	0.52979592648698	0.799602351084109	1.30845291874993	7423	3
GO:0003823	0.147583235560001	0.52979592648698	0.392548209185585	1.26105000245024	7672	53
GO:0005262	0.14799304038197	0.52979592648698	-0.439847130607115	-1.27654717919487	7314	26
GO:0015180	0.148125937031484	0.52979592648698	0.520685448065743	1.32502148290367	7409	17
GO:0035651	0.148824492076797	0.52979592648698	-0.749044840141653	-1.32182621420793	7456	4
GO:0004520	0.148546030733662	0.52979592648698	0.924547123134626	1.23448553518473	7452	1
GO:0000014	0.148546030733662	0.52979592648698	0.924547123134626	1.23448553518473	7452	1
GO:0005085	0.149901926848967	0.532095311056385	-0.277057248562751	-1.14505750072637	6495	199
GO:0035064	0.14995413311589	0.532095311056385	-0.405030176499091	-1.255857205661	7355	35
GO:0016798	0.150209347516878	0.532142616001822	0.798625381561359	1.30685422582232	7497	3
GO:0008093	0.150898874157618	0.532869218534124	0.545256212929199	1.32688837496079	7545	14
GO:0044020	0.150843651251068	0.532869218534124	-0.706087459683486	-1.32755510417503	7589	5
GO:0004711	0.152275669754009	0.536593549940798	-0.642894509673462	-1.3296092882278	7644	7
GO:0005338	0.152441349414999	0.536593549940798	-0.922202936716942	-1.23301786001344	7595	1
GO:0004020	0.153139662573625	0.53733214938114	-0.794253123327516	-1.29851830491326	7669	3
GO:0004781	0.153139662573625	0.53733214938114	-0.794253123327516	-1.29851830491326	7669	3
